titulo,coordenada,calificacion,comentario
La Terraza de la Molina,,5,"Un lugar increíble,  con el mejor Ambiente de Lima , platos tradicionales como el arroz con pato ,  único y preparado a la antigua cocina. Y la nueva trenza hecha pan delicioso manjar para los más exigentes!!!"
La Terraza de la Molina,,5,"Bonito lugar, bonita decoración y buena música ambiental. El precio es algo caro. Nos dijeron que la carta está en evaluación y lo más seguro es que cambie según la preferencia del público. Buena atención."
La Terraza de la Molina,,4,"Excelente servicio, comida rica, precio por encima del promedio"
La Terraza de la Molina,,3,"Los platos promedio, las bebidas agradables, definitivamente el ambiente es lo mejor. Lastimosamente, les pongo solo 3 porque nos tocó un servicio paupérrimo, el mozo se demoraba, se olvidaba los pedidos, nos tuvo esperando 40 minutos por un postre que nunca llego y otros 25 minutos para darnos la cuenta. Ojalá mejoren."
