titulo,coordenada,calificacion,comentario
Restaurante Punta Del Este.,"-12.0930607,-77.2370447,11z",5,Muy buen lugar para comer un menú marino.
Restaurante Punta Del Este.,"-12.0930607,-77.2370447,11z",1,"Simplemente limpio. Precio caro para la zona donde está y el servicio que se da. La carta pone en muchos apartados ""pescado"" con... pero no pone QUE TIPO DE PESCADO.…"
Restaurante Punta Del Este.,"-12.0930607,-77.2370447,11z",5,"Excelente lugar, platos muy recomendables y atención cordial, ideal para ir en familia."
Restaurante Punta Del Este.,"-12.0930607,-77.2370447,11z",5,"Excelente servicio, la comida deliciosa 😃…"
Restaurante Punta Del Este.,"-12.0930607,-77.2370447,11z",2,Muy caro. El servicio no lo vale
