titulo,coordenada,calificacion,comentario
RICO TAHUA RESTAURANTE,"-11.9750928,-77.1204676,13z",5,"La comida es riquísima y el local es muy bonito. Siempre es agradable ingresar y escuchar la buena música que ponen, hacen muy cómodo el momento de la cena. Lo recomiendo mucho."
RICO TAHUA RESTAURANTE,"-11.9750928,-77.1204676,13z",4,"Buen servicio, ambiente, comida"
RICO TAHUA RESTAURANTE,"-11.9750928,-77.1204676,13z",5,"Buen local, amplio, ventilado, buena atención y ricos platos 👍…"
RICO TAHUA RESTAURANTE,"-11.9750928,-77.1204676,13z",5,"Me encanta, súper bueno todo , Deliii 🤤👌🏻…"
