titulo,coordenada,calificacion,comentario
Restaurante El Porton,"-12.1167699,-77.0282922,17z",5,"Muy rico todo, buena atención y comodidad"
Restaurante El Porton,"-12.1167699,-77.0282922,17z",5,Que delicioso y económico era comer en este lugar. Sigo esperando el chance de pasar por la zona nuevamente para volverlos a visitar.
Restaurante El Porton,"-12.1167699,-77.0282922,17z",5,Bonito restaurante atendido por su dueña con cálida atención
Restaurante El Porton,"-12.1167699,-77.0282922,17z",3,Muy buena comida
Restaurante El Porton,"-12.1167699,-77.0282922,17z",5,"Awesome food and clean environment, very affordable."
