titulo,coordenada,calificacion,comentario
"Restaurante ""La Jama""","-11.9750928,-77.1204676,13z",4,"LA JAMA ,, ahora con cebiches , variados platos marinos,,,,,,en el corazon deTahuantinsuyo,, frente  a un parque ,,,lugar fresco y acogedor en este verano."
"Restaurante ""La Jama""","-11.9750928,-77.1204676,13z",5,estuvo delicioso; espero tambien lo visiten
"Restaurante ""La Jama""","-11.9750928,-77.1204676,13z",5,Un rocoto Arequipeño.. con costillar.... riquísimo ..
"Restaurante ""La Jama""","-11.9750928,-77.1204676,13z",5,Muy rico
"Restaurante ""La Jama""","-11.9750928,-77.1204676,13z",4,Buena sazón y comida caliente apetitosa
"Restaurante ""La Jama""","-11.9750928,-77.1204676,13z",5,Buena la comida
