titulo,coordenada,calificacion,comentario
Oriundo Restaurante,"-12.1167699,-77.0282922,17z",4,La mejor sazón a un precio Justo … buenísimo !!!!
Oriundo Restaurante,"-12.1167699,-77.0282922,17z",3,"Excelente comida sabor natural 😊😊😊😋😋
Le recomiendo...…"
Oriundo Restaurante,"-12.1167699,-77.0282922,17z",5,"La atención es muy buena , asi como los platos que uno pide , muy rico todo"
Oriundo Restaurante,"-12.1167699,-77.0282922,17z",5,"Muy bueno, un grato descubrimiento"
Oriundo Restaurante,"-12.1167699,-77.0282922,17z",5,Todo perfecto 😍…
Oriundo Restaurante,"-12.1167699,-77.0282922,17z",5,Recomendable cumple
Oriundo Restaurante,"-12.1167699,-77.0282922,17z",2,Buen gusto
